,time,ID,Sec,X,Y,Contact_count,Vertex,Speed,Sit,exit,STUCK,Chair,group,groupedP,totalP,Contact_sec,Contact_IDs,Contact_Pop
977,115,6,99,28.9864368535561,27.535079158862782,0,"[28.9864368535561, 27.535079158862782]",0.90317080199887,0,,,[],1.0,2.0,9.0,0.0,[],0
978,115,7,96,23.11233966189961,18.43995533758981,0,"[23.11233966189961, 18.43995533758981]",1.2145644296275726,0,,,[],0.0,0.0,9.0,0.0,[],0
979,115,8,93,8.547682723249892,13.960936628407763,0,"[8.547682723249892, 13.960936628407763]",1.4860417086337878,0,,,[],0.0,0.0,9.0,0.0,[],0
980,115,9,90,17.325588661958275,2.9204266984954153,0,"[17.325588661958275, 2.9204266984954153]",1.1205369127367382,0,,,[],1.0,2.0,9.0,0.0,[],0
981,116,0,116,0.4616203401964203,0.7916984269743244,0,"[0.4616203401964203, 0.7916984269743244]",0.8954973826869429,0,,,[],1.0,2.0,9.0,0.0,[],0
982,116,1,115,16.013478371874037,6.420502273743429,0,"[16.013478371874037, 6.420502273743429]",1.3807643273681198,0,,,[],0.0,0.0,9.0,0.0,[],0
984,116,4,106,23.151124137742308,0.09747106705526254,0,"[23.151124137742308, 0.09747106705526254]",0.8222941230979979,0,,,[],1.0,2.0,9.0,0.0,[],0
985,116,5,103,27.541373156448834,5.535183653066104,0,"[27.541373156448834, 5.535183653066104]",0.8863752481006303,0,,,[],0.0,0.0,9.0,0.0,[],0
986,116,6,100,28.9864368535561,27.535079158862782,0,"[28.9864368535561, 27.535079158862782]",0.90317080199887,0,,,[],1.0,2.0,9.0,0.0,[],0
987,116,7,97,23.11233966189961,18.43995533758981,0,"[23.11233966189961, 18.43995533758981]",1.2145644296275726,0,,,[],0.0,0.0,9.0,0.0,[],0
988,116,8,94,8.547682723249892,13.960936628407763,0,"[8.547682723249892, 13.960936628407763]",1.4860417086337878,0,,,[],0.0,0.0,9.0,0.0,[],0
989,116,9,91,17.325588661958275,2.9204266984954153,0,"[17.325588661958275, 2.9204266984954153]",1.1205369127367382,0,,,[],1.0,2.0,9.0,0.0,[],0
990,117,0,117,0.4616203401964203,0.7916984269743244,0,"[0.4616203401964203, 0.7916984269743244]",0.8954973826869429,0,,,[],1.0,2.0,9.0,0.0,[],0
991,117,1,116,16.013478371874037,6.420502273743429,0,"[16.013478371874037, 6.420502273743429]",1.3807643273681198,0,,,[],0.0,0.0,9.0,0.0,[],0
993,117,4,107,23.151124137742308,0.09747106705526254,0,"[23.151124137742308, 0.09747106705526254]",0.8222941230979979,0,,,[],1.0,2.0,9.0,0.0,[],0
994,117,5,104,27.541373156448834,5.535183653066104,0,"[27.541373156448834, 5.535183653066104]",0.8863752481006303,0,,,[],0.0,0.0,9.0,0.0,[],0
995,117,6,101,28.9864368535561,27.535079158862782,0,"[28.9864368535561, 27.535079158862782]",0.90317080199887,0,,,[],1.0,2.0,9.0,0.0,[],0
996,117,7,98,23.11233966189961,18.43995533758981,0,"[23.11233966189961, 18.43995533758981]",1.2145644296275726,0,,,[],0.0,0.0,9.0,0.0,[],0
997,117,8,95,8.547682723249892,13.960936628407763,0,"[8.547682723249892, 13.960936628407763]",1.4860417086337878,0,,,[],0.0,0.0,9.0,0.0,[],0
998,117,9,92,17.325588661958275,2.9204266984954153,0,"[17.325588661958275, 2.9204266984954153]",1.1205369127367382,0,,,[],1.0,2.0,9.0,0.0,[],0
999,118,0,118,0.4616203401964203,0.7916984269743244,0,"[0.4616203401964203, 0.7916984269743244]",0.8954973826869429,0,,,[],1.0,2.0,9.0,0.0,[],0
1000,118,1,117,16.013478371874037,6.420502273743429,0,"[16.013478371874037, 6.420502273743429]",1.3807643273681198,0,,,[],0.0,0.0,9.0,0.0,[],0
1002,118,4,108,23.151124137742308,0.09747106705526254,0,"[23.151124137742308, 0.09747106705526254]",0.8222941230979979,0,,,[],1.0,2.0,9.0,0.0,[],0
1003,118,5,105,27.541373156448834,5.535183653066104,0,"[27.541373156448834, 5.535183653066104]",0.8863752481006303,0,,,[],0.0,0.0,9.0,0.0,[],0
1004,118,6,102,28.9864368535561,27.535079158862782,0,"[28.9864368535561, 27.535079158862782]",0.90317080199887,0,,,[],1.0,2.0,9.0,0.0,[],0
1005,118,7,99,23.11233966189961,18.43995533758981,0,"[23.11233966189961, 18.43995533758981]",1.2145644296275726,0,,,[],0.0,0.0,9.0,0.0,[],0
1006,118,8,96,8.547682723249892,13.960936628407763,0,"[8.547682723249892, 13.960936628407763]",1.4860417086337878,0,,,[],0.0,0.0,9.0,0.0,[],0
1007,118,9,93,17.325588661958275,2.9204266984954153,0,"[17.325588661958275, 2.9204266984954153]",1.1205369127367382,0,,,[],1.0,2.0,9.0,0.0,[],0
1008,119,0,119,0.4616203401964203,0.7916984269743244,0,"[0.4616203401964203, 0.7916984269743244]",0.8954973826869429,0,,,[],1.0,2.0,9.0,0.0,[],0
1009,119,1,118,16.013478371874037,6.420502273743429,0,"[16.013478371874037, 6.420502273743429]",1.3807643273681198,0,,,[],0.0,0.0,9.0,0.0,[],0
1011,119,4,109,23.151124137742308,0.09747106705526254,0,"[23.151124137742308, 0.09747106705526254]",0.8222941230979979,0,,,[],1.0,2.0,9.0,0.0,[],0
